tabla,row_num,datos_json
creator_coordinates,7,"{""id"": 127, ""browser_id"": 3, ""brave_click"": ""1313x138"", ""linkedin_fav_click"": ""755x101"", ""email_input_click"": ""991x261"", ""continue_button_click"": ""1012x509"", ""name_input_click"": ""982x290"", ""continue_button2_click"": ""1012x430"", ""close_captcha_click"": ""1292x249"", ""close_number_click"": ""1320x228"", ""cookie_editor_icon_click"": ""1305x63"", ""save_cookie_clipboard_click"": ""1256x538"", ""close_window"": ""1337x22"", ""continue_button_click_optional"": ""1015x505"", ""white_captcha_click"": ""1331x216"", ""close_captcha_error_click"": ""1324x324"", ""close_proxy_error_click"": ""1323x329""}"
creator_coordinates,8,"{""id"": 128, ""browser_id"": 4, ""brave_click"": ""1237x34"", ""linkedin_fav_click"": ""763x97"", ""email_input_click"": ""989x296"", ""continue_button_click"": ""1018x513"", ""name_input_click"": ""1003x297"", ""continue_button2_click"": ""1025x437"", ""close_captcha_click"": ""1311x360"", ""close_number_click"": ""1330x437"", ""cookie_editor_icon_click"": ""1149x63"", ""save_cookie_clipboard_click"": ""1102x502"", ""close_window"": ""1342x19"", ""continue_button_click_optional"": ""1020x517"", ""white_captcha_click"": ""1326x342"", ""close_captcha_error_click"": ""1328x238"", ""close_proxy_error_click"": ""1333x215""}"
creator_coordinates,9,"{""id"": 177, ""browser_id"": 10, ""brave_click"": ""1833x589"", ""linkedin_fav_click"": ""1063x148"", ""email_input_click"": ""1398x450"", ""continue_button_click"": ""1429x780"", ""name_input_click"": ""1371x457"", ""continue_button2_click"": ""1417x700"", ""close_captcha_click"": ""1851x703"", ""close_number_click"": ""1826x706"", ""cookie_editor_icon_click"": ""1624x96"", ""save_cookie_clipboard_click"": ""1555x766"", ""close_window"": ""1872x35"", ""continue_button_click_optional"": ""1423x771"", ""white_captcha_click"": ""1845x745"", ""close_captcha_error_click"": ""1842x566"", ""close_proxy_error_click"": ""1300x388""}"
creator_coordinates,10,"{""id"": 182, ""browser_id"": 9, ""brave_click"": ""1687x234"", ""linkedin_fav_click"": ""967x163"", ""email_input_click"": ""1360x455"", ""continue_button_click"": ""1751x375"", ""name_input_click"": ""966x291"", ""continue_button2_click"": ""987x417"", ""close_captcha_click"": ""1304x295"", ""close_number_click"": ""1327x325"", ""cookie_editor_icon_click"": ""1058x63"", ""save_cookie_clipboard_click"": ""1006x544"", ""close_window"": ""1340x25"", ""continue_button_click_optional"": ""977x509"", ""white_captcha_click"": ""1297x254"", ""close_captcha_error_click"": ""1316x326"", ""close_proxy_error_click"": ""1294x276""}"
creator_setting,1,"{""id"": 16, ""browser_id"": 6, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36 OPR/124.0.0.0"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 0, ""time_config_type"": ""cycle"", ""accounts_per_cycle"": 1, ""isInVps"": 1, ""is33mail"": 0, ""domain"": ""@gmail.com""}"
creator_setting,2,"{""id"": 18, ""browser_id"": 7, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 CCleaner/142.0.0.0"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 0, ""time_config_type"": ""cycle"", ""accounts_per_cycle"": 1, ""isInVps"": 1, ""is33mail"": 0, ""domain"": ""@gmail.com""}"
creator_setting,3,"{""id"": 20, ""browser_id"": 8, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 0, ""time_config_type"": ""cycle"", ""accounts_per_cycle"": 1, ""isInVps"": 1, ""is33mail"": 0, ""domain"": ""@gmail.com""}"
creator_setting,4,"{""id"": 21, ""browser_id"": 9, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 60, ""time_config_type"": ""scheduled"", ""accounts_per_cycle"": 1, ""isInVps"": 1, ""is33mail"": 0, ""domain"": ""@gmail.com""}"
creator_setting,5,"{""id"": 23, ""browser_id"": 2, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 60, ""time_config_type"": ""scheduled"", ""accounts_per_cycle"": 1, ""isInVps"": 0, ""is33mail"": 0, ""domain"": ""@gmail.com""}"
creator_setting,6,"{""id"": 24, ""browser_id"": 3, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 60, ""time_config_type"": ""scheduled"", ""accounts_per_cycle"": 1, ""isInVps"": 0, ""is33mail"": 0, ""domain"": ""@gmail.comcc""}"
creator_setting,7,"{""id"": 25, ""browser_id"": 4, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 60, ""time_config_type"": ""scheduled"", ""accounts_per_cycle"": 1, ""isInVps"": 0, ""is33mail"": 0, ""domain"": ""@gmail.com""}"
creator_setting,8,"{""id"": 28, ""browser_id"": 5, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 60, ""time_config_type"": ""scheduled"", ""accounts_per_cycle"": 1, ""isInVps"": 0, ""is33mail"": 1, ""domain"": null}"
creator_setting,9,"{""id"": 29, ""browser_id"": 10, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 60, ""time_config_type"": ""scheduled"", ""accounts_per_cycle"": 1, ""isInVps"": 0, ""is33mail"": 1, ""domain"": null}"
creator_setting,10,"{""id"": 30, ""browser_id"": 1, ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"", ""accounts_to_create"": 1, ""scheduled_time"": null, ""timezone"": null, ""notification_email"": ""guaniqued@gmail.com"", ""google_sheets_enabled"": 0, ""google_sheets_name"": null, ""google_credentials_file"": null, ""cycle_time_minutes"": 60, ""time_config_type"": ""scheduled"", ""accounts_per_cycle"": 1, ""isInVps"": 0, ""is33mail"": 1, ""domain"": null}"
domains,1,"{""id"": 1, ""domain"": ""@trdmail.com"", ""fill_domain"": 0, ""is_active"": 0, ""created_at"": ""2026-01-10 04:35:48"", ""updated_at"": ""2026-03-01 20:27:56""}"
domains,2,"{""id"": 2, ""domain"": ""@gmail.com"", ""fill_domain"": 0, ""is_active"": 0, ""created_at"": ""2026-01-11 04:36:01"", ""updated_at"": ""2026-01-11 23:44:55""}"
domains,3,"{""id"": 3, ""domain"": ""@osdmail.com"", ""fill_domain"": 1, ""is_active"": 1, ""created_at"": ""2026-01-12 02:49:17"", ""updated_at"": ""2026-01-25 16:11:57""}"
domains,4,"{""id"": 4, ""domain"": ""@opormail.com"", ""fill_domain"": 1, ""is_active"": 1, ""created_at"": ""2026-01-23 14:52:23"", ""updated_at"": ""2026-01-25 16:11:56""}"
domains,5,"{""id"": 5, ""domain"": ""@kdrmail.xyz"", ""fill_domain"": 1, ""is_active"": 0, ""created_at"": ""2026-01-23 20:59:29"", ""updated_at"": ""2026-01-24 22:17:57""}"
domains,6,"{""id"": 6, ""domain"": ""@syntraxgroup.com"", ""fill_domain"": 1, ""is_active"": 1, ""created_at"": ""2026-01-24 22:17:58"", ""updated_at"": ""2026-01-24 22:17:58""}"
global_time_config,1,"{""id"": 1, ""scheduled_time"": null, ""timezone"": null, ""cycle_time_minutes"": 0, ""time_config_type"": ""cycle"", ""accounts_per_cycle"": 1, ""is33mail"": 0, ""domain"": null, ""fill_domain"": 1, ""random_domains"": 1, ""random_domain_tlds"": ""com,gov""}"
migrations,1,"{""id"": 1, ""version"": 1, ""description"": ""Agregar columna white_captcha_click a creator_coordinates"", ""applied_at"": ""2025-11-24 17:16:54""}"
migrations,2,"{""id"": 2, ""version"": 2, ""description"": ""Eliminar columna duplicada close_captcha_white_click"", ""applied_at"": ""2025-11-24 17:16:54""}"
migrations,3,"{""id"": 3, ""version"": 3, ""description"": ""Agregar columna white_captcha_click después de eliminar duplicada"", ""applied_at"": ""2025-11-24 17:16:54""}"
random_tld_entries,1,"{""id"": 3, ""tld"": ""com"", ""sort_order"": 0, ""created_at"": ""2026-04-11 01:12:11""}"
random_tld_entries,2,"{""id"": 4, ""tld"": ""gov"", ""sort_order"": 1, ""created_at"": ""2026-04-11 01:13:00""}"
user,1,"{""id"": 1, ""name"": ""Alexis"", ""lastname"": ""Guanique"", ""access_token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VybmFtZSI6ImFkbWluIiwiZXhwIjoxNzcxNTYzMDg0fQ.pezJce_QzWyUl5zR4RLviKHiLBxPcPEtkx9vBy6gbY0""}"
